x,y,z
-32.13496017,22.09806633,-1.52895463
-32.13496017,22.14806747,-1.47895455
-31.93496132,21.64806747,-1.97895455
-32.0349617,21.74806786,-1.87895465
-31.98496056,21.74806786,-1.87895465
-31.88496017,21.59806633,-1.9289546
-32.0349617,21.54806709,-1.52895463
-32.08496094,21.59806633,-1.52895463
-31.93496132,21.49806786,-1.4289546
-32.0349617,21.74806786,-1.52895463
-32.08496094,21.94806671,-1.97895455
-32.08496094,21.94806671,-1.87895465
-32.0349617,21.89806747,-1.87895465
-31.73496056,22.14806747,-1.4289546
-32.48495865,21.49806786,-1.02895463
-32.48495865,21.64806747,-1.12895465
-32.43495941,21.64806747,-1.12895465
-32.33496094,21.54806709,-1.12895465
-32.33496094,21.64806747,-1.12895465
-32.2849617,21.69806671,-1.07895458
-32.48495865,21.49806786,-0.6789546
-32.38496017,21.49806786,-0.62895459
-32.38496017,21.59806633,-0.6789546
-32.38496017,21.74806786,-0.6789546
-32.33496094,21.74806786,-0.6789546
-32.2849617,21.54806709,-0.6789546
-32.2849617,21.74806786,-0.6789546
-32.23495865,21.69806671,-0.6789546
-31.88496017,21.54806709,-1.07895458
-31.83496094,21.54806709,-1.02895463
-31.78495979,21.49806786,-1.07895458
-38.13496017,31.69806671,-0.0789546
-38.43495941,32.89806747,-0.1789546
-38.93495941,34.44806671,-0.9289546
-38.58496094,33.64806747,-0.87895459
-38.38496017,33.84806824,-0.9289546
-38.38496017,34.94806671,-1.07895458
-38.13496017,34.89806747,-0.82895458
-38.18495941,34.84806824,-0.77895463
-38.43495941,34.74806595,0.77104539
-35.13496017,24.59806633,-2.97895455
-35.0349617,25.14806747,-3.37895465
-35.08496094,24.69806671,-2.77895451
-35.23495865,24.34806633,-1.27895463
-35.23495865,24.44806671,-1.32895458
-35.18495941,24.29806709,-1.27895463
-35.13496017,24.64806747,-1.4289546
-34.93495941,24.44806671,-1.37895465
-35.08496094,24.29806709,-0.87895459
-35.13496017,24.29806709,-0.52895463
-34.93495941,24.39806747,-0.47895461
-35.23495865,24.69806671,-1.4289546
-35.43495941,25.04806709,-0.57895458
-35.5349617,25.09806633,-0.4289546
-35.23495865,24.74806786,-0.57895458
-35.2849617,24.84806633,-0.57895458
-35.23495865,24.79806709,-0.57895458
-35.13496017,24.74806786,-0.57895458
-35.23495865,24.94806671,-0.57895458
-35.98495865,26.54806709,-3.0789547
-35.93495941,26.49806786,-3.0789547
-35.18495941,25.59806633,-3.4289546
-35.0349617,26.19806671,-2.12895465
-35.5349617,26.99806786,-2.97895455
-34.93495941,28.49806786,-2.4289546
-36.93495941,28.34806633,-1.47895455
-36.98495865,28.44806671,-1.37895465
-36.93495941,28.64806747,-1.22895455
-36.5349617,27.99806786,-1.07895458
-36.18495941,26.69806671,-0.97895461
-34.93495941,25.99806786,-1.9289546
-34.93495941,26.19806671,-1.9289546
-34.93495941,26.09806633,-1.77895463
-35.0349617,25.99806786,-1.37895465
-35.18495941,26.09806633,-1.02895463
-35.2849617,26.09806633,-0.6789546
-35.2849617,26.14806747,-0.6789546
-35.43495941,26.74806786,-1.97895455
-35.0349617,26.59806633,-1.97895455
-35.18495941,26.69806671,-1.97895455
-35.08496094,26.79806709,-1.47895455
-35.63496017,26.59806633,-0.6789546
-35.58496094,26.54806709,-0.6789546
-34.93495941,26.29806709,-1.07895458
-34.93495941,26.44806671,-1.12895465
-35.08496094,26.54806709,-1.12895465
-35.08496094,26.64806747,-1.12895465
-35.0349617,26.59806633,-1.12895465
-34.98495865,26.49806786,-1.12895465
-35.23495865,26.89806747,-1.07895458
-35.2849617,26.94806671,-0.52895463
-35.23495865,27.04806709,-0.52895463
-34.98495865,26.94806671,-0.77895463
-34.98495865,26.99806786,-0.77895463
-36.23495865,27.69806671,-1.02895463
-36.38496017,27.59806633,-0.6789546
-36.33496094,27.59806633,-0.6789546
-35.43495941,27.44806671,-1.4289546
-35.33496094,27.44806671,-1.4289546
-35.38496017,27.54806709,-1.4289546
-35.38496017,27.59806633,-1.4289546
-35.63496017,27.69806671,-1.07895458
-35.58496094,27.79806709,-1.12895465
-35.5349617,27.79806709,-1.12895465
-35.08496094,27.09806633,-1.12895465
-35.0349617,27.24806786,-1.02895463
-35.0349617,27.34806633,-1.02895463
-34.98495865,27.44806671,-1.02895463
-35.23495865,27.09806633,-0.52895463
-35.13496017,27.29806709,-0.4289546
-35.13496017,27.39806747,-0.52895463
-34.93495941,27.09806633,-0.77895463
-34.98495865,27.19806671,-0.77895463
-35.08496094,27.14806747,-0.52895463
-35.0349617,27.24806786,-0.4289546
-34.98495865,27.24806786,-0.47895461
-34.93495941,27.24806786,-0.47895461
-34.98495865,27.34806633,-0.77895463
-34.93495941,27.29806709,-0.77895463
-35.08496094,27.29806709,-0.52895463
-35.08496094,27.44806671,-0.47895461
-34.98495865,27.39806747,-0.52895463
-34.98495865,27.59806633,-1.02895463
-34.93495941,27.74806786,-1.07895458
-35.13496017,27.54806709,-0.47895461
-35.0349617,27.49806786,-0.52895463
-35.08496094,27.54806709,-0.47895461
-34.98495865,27.54806709,-0.52895463
-34.93495941,28.19806671,-1.77895463
-35.18495941,28.09806633,-1.4289546
-35.0349617,27.94806671,-1.4289546
-34.98495865,27.89806747,-1.47895455
-35.08496094,28.09806633,-1.52895463
-35.58496094,27.99806786,-1.12895465
-35.13496017,27.89806747,-1.12895465
-34.93495941,27.89806747,-1.12895465
-35.08496094,28.24806786,-0.77895463
-34.98495865,28.09806633,-0.77895463
-34.93495941,28.14806747,-0.52895463
-35.13496017,28.29806709,-0.77895463
-35.08496094,27.24806786,-0.32895461
-35.08496094,27.29806709,-0.37895459
-34.98495865,27.44806671,-0.37895459
-35.08496094,27.44806671,-0.1289546
-35.0349617,27.39806747,-0.0789546
-34.13496017,22.79806709,-2.0789547
-33.73495865,22.59806633,-2.97895455
-33.98495865,22.84806633,-3.02895451
-34.0349617,22.94806671,-3.02895451
-33.73495865,22.69806671,-3.02895451
-33.73495865,22.74806786,-3.02895451
-33.7849617,22.79806709,-3.02895451
-33.83496094,22.79806709,-2.97895455
-33.7849617,22.69806671,-2.97895455
-33.68495941,22.64806747,-3.02895451
-33.48495865,22.29806709,-2.97895455
-33.43495941,22.44806671,-2.97895455
-33.48495865,22.49806786,-2.97895455
-33.93495941,22.34806633,-2.62895465
-33.98495865,22.44806671,-2.72895455
-33.98495865,22.54806709,-2.72895455
-33.93495941,22.54806709,-2.72895455
-33.98495865,22.64806747,-2.77895451
-34.0349617,22.84806633,-2.5789547
-33.73495865,22.94806671,-2.52895451
-33.98495865,22.89806747,-2.02895451
-33.7849617,22.99806786,-2.22895455
-33.73495865,23.04806709,-2.22895455
-33.68495941,22.49806786,-2.6789546
-33.48495865,22.64806747,-2.4289546
-33.63496017,22.89806747,-2.22895455
-33.68495941,23.04806709,-2.02895451
-33.33496094,23.74806786,-3.12895465
-33.88496017,23.09806633,-2.22895455
-34.73495865,24.39806747,-2.27895451
-34.68495941,24.64806747,-2.3289547
-34.68495941,24.59806633,-2.27895451
